CellIdX,CellIdY,CellIdZ,CellPosX[mm],CellPosY[mm],CellPosZ[mm]
0,0,0,-18.6,-18.6,-18.6
1,0,0,-6.2,-18.6,-18.6
2,0,0,6.2,-18.6,-18.6
3,0,0,18.6,-18.6,-18.6
0,0,1,-12.4,-18.6,-6.2
1,0,1,-8.88178e-16,-18.6,-6.2
2,0,1,12.4,-18.6,-6.2
3,0,1,24.8,-18.6,-6.2
0,0,2,-18.6,-18.6,6.2
1,0,2,-6.2,-18.6,6.2
2,0,2,6.2,-18.6,6.2
3,0,2,18.6,-18.6,6.2
0,0,3,-12.4,-18.6,18.6
1,0,3,-8.88178e-16,-18.6,18.6
2,0,3,12.4,-18.6,18.6
3,0,3,24.8,-18.6,18.6
0,1,0,-12.4,-6.2,-18.6
1,1,0,-1.77636e-15,-6.2,-18.6
2,1,0,12.4,-6.2,-18.6
3,1,0,24.8,-6.2,-18.6
0,1,1,-6.2,-6.2,-6.2
1,1,1,6.2,-6.2,-6.2
2,1,1,18.6,-6.2,-6.2
3,1,1,31,-6.2,-6.2
0,1,2,-12.4,-6.2,6.2
1,1,2,-1.77636e-15,-6.2,6.2
2,1,2,12.4,-6.2,6.2
3,1,2,24.8,-6.2,6.2
0,1,3,-6.2,-6.2,18.6
1,1,3,6.2,-6.2,18.6
2,1,3,18.6,-6.2,18.6
3,1,3,31,-6.2,18.6
0,2,0,-18.6,6.2,-18.6
1,2,0,-6.2,6.2,-18.6
2,2,0,6.2,6.2,-18.6
3,2,0,18.6,6.2,-18.6
0,2,1,-12.4,6.2,-6.2
1,2,1,-8.88178e-16,6.2,-6.2
2,2,1,12.4,6.2,-6.2
3,2,1,24.8,6.2,-6.2
0,2,2,-18.6,6.2,6.2
1,2,2,-6.2,6.2,6.2
2,2,2,6.2,6.2,6.2
3,2,2,18.6,6.2,6.2
0,2,3,-12.4,6.2,18.6
1,2,3,-8.88178e-16,6.2,18.6
2,2,3,12.4,6.2,18.6
3,2,3,24.8,6.2,18.6
0,3,0,-12.4,18.6,-18.6
1,3,0,-1.77636e-15,18.6,-18.6
2,3,0,12.4,18.6,-18.6
3,3,0,24.8,18.6,-18.6
0,3,1,-6.2,18.6,-6.2
1,3,1,6.2,18.6,-6.2
2,3,1,18.6,18.6,-6.2
3,3,1,31,18.6,-6.2
0,3,2,-12.4,18.6,6.2
1,3,2,-1.77636e-15,18.6,6.2
2,3,2,12.4,18.6,6.2
3,3,2,24.8,18.6,6.2
0,3,3,-6.2,18.6,18.6
1,3,3,6.2,18.6,18.6
2,3,3,18.6,18.6,18.6
3,3,3,31,18.6,18.6
